lat_avg,lng_avg,count_qualified,percent_covered,percent_qualified,yearly_sunlight_kwh_n,yearly_sunlight_kwh_e,yearly_sunlight_kwh_s,yearly_sunlight_kwh_w,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,carbon_offset_metric_tons,kw_total
34.26704025268555,-118.43271636962892,586,98.121387283237,86.30338733431516,1075291.3718200678,1014756.4665222164,1760042.8658020005,1533140.140307617,1285.2479090909096,7922383.024920657,2159.8873894904377,5219.0
43.156368255615234,-77.60704040527344,369,98.62385321100915,85.81395348837209,173981.0159851074,733882.6821350096,1342966.4486572265,766685.454333496,947.75,31176061.203384425,11392.316227492533,28391.25
42.277793884277344,-89.06658935546875,788,99.35943060498221,56.446991404011456,134264.19063720707,1024630.3252990722,3155397.3702697763,1173067.7481750492,980.05,8337564.920520025,6902.286132814296,7352.25
40.4229621887207,-79.99372863769531,432,98.68766404199475,38.297872340425535,73181.90339355469,1203715.4451904297,760424.8017456062,442553.8702514648,948.6,3912445.469921873,3238.9334739656297,3598.25
33.84404373168945,-117.93311309814452,827,100.0,90.38251366120218,1691434.7954956049,2070519.377624514,3551938.9030395527,3269614.59998169,1260.55,22418115.218194604,6111.873687956049,15098.5
38.46457290649414,-121.37847900390624,1762,99.94496422674739,97.02643171806169,1003767.882965088,4210227.061474606,10352945.204882829,6545339.957666024,1216.35,24149292.992724657,6583.846455797715,16822.75
32.863067626953125,-96.557861328125,1079,99.82253771073648,95.91111111111113,618971.822125244,3660221.9183471696,6461030.28518677,4815122.746118161,1132.139034109022,17340574.905780002,8432.486585287294,13047.5
36.83123016357422,-75.9958267211914,1025,99.34980494148243,67.08115183246073,663142.1064697264,2613630.1911926265,4434880.50570068,3071813.5712280255,1071.0,28735704.275915504,16869.194507232773,22840.75
21.439903259277344,-158.01797485351562,903,99.27685950413225,93.9646201873049,2917266.786425781,3713193.4071228034,5027412.277941896,4000787.4271240258,1272.45,20393077.341223143,13599.366525365573,14362.5
41.882301330566406,-88.02163696289062,1030,99.57882069795427,62.235649546827794,334398.4885864258,1392290.255194091,3401789.0666564927,1972430.367803956,980.05,14221512.651110848,11773.335559620844,12656.75
32.31519317626953,-90.2240219116211,636,98.07692307692308,56.68449197860962,636647.404449463,1686265.5991455077,3699570.388433837,1610426.859924317,1080.35,17426216.956475835,10647.422356446024,13543.5
28.71829605102539,-81.91355895996092,790,98.3739837398374,93.27036599763872,2260895.759204101,4207971.210241697,5172788.70617676,4588634.461096193,1141.55,24639479.100305174,13170.307189116598,18053.5
29.74567222595215,-95.62152099609376,533,123.28159645232816,95.86330935251799,2460288.593707276,3206875.6575500527,5020497.40820312,4266809.488146976,1070.15,20050200.319909647,9750.14070459712,15831.0
29.708372116088867,-95.28196716308592,1452,100.0560538116592,81.34453781512605,1951594.7627258303,2080313.2494506848,5057388.476409911,3770813.4566650423,1070.15,26118206.57061155,12700.929913519358,20525.75
41.320510864257805,-73.26151275634764,986,74.83349191246432,62.68277177368086,136363.82427978516,2565569.807556154,4462243.983465574,3273902.743109132,1006.210788775123,17935038.87961424,7765.697902170752,15524.25
40.784862518310554,-124.1791534423828,1551,99.0033222591362,86.74496644295301,1059024.8750244137,2465579.195001221,5220944.433935547,3619088.625793458,997.9,28419529.914123535,7747.308035145868,23886.75
37.86791229248047,-122.24954223632812,209,100.354609929078,73.85159010600705,123654.9078552246,377370.72169189446,746546.608532715,883721.3280395508,1229.95,4637752.843218993,1264.3953025412393,3291.0
31.76772689819336,-106.35980987548828,473,99.79591836734694,96.7280163599182,937770.1687805171,2054745.801141359,3767882.854223632,2453233.898968503,1422.9,21284851.44765624,9165.95889502872,12642.0
42.44730758666992,-83.39508819580078,1185,98.08917197452227,69.95277449822905,1533217.6383728045,3802634.1332397433,6121946.713641352,4397576.213085937,957.95,19472340.95029296,15337.023734561635,17451.0
36.8469123840332,-76.23493957519531,639,99.91273996509598,55.80786026200873,432043.8943847656,1527489.0935668943,2880339.712438964,1677046.5426208498,1066.75,18835235.279528808,11057.158873470524,15049.25
40.636600494384766,-74.40379333496092,699,98.40637450199203,56.59919028340081,311588.5268127441,1142148.2550476063,2661423.805047608,543500.8129089356,997.0317484662572,6982233.375872805,4436.934430619347,6095.75
40.69195175170898,-73.91439056396483,380,97.8768577494692,82.4295010845987,22826.895574951173,4088.087243652344,70544.93610839844,1149.1435546875,1003.85,4017234.7164916983,2279.971385037323,3379.75
33.61796569824219,-112.33529663085938,1505,106.4032697547684,96.35083226632521,400944.9938781736,6813386.805432127,6461434.4668273935,13419133.561401377,1375.3,32564897.48632813,14023.518675455696,20166.5
43.820091247558594,-91.29783630371091,1909,98.89750918742345,78.81915772089182,802963.0607727052,6082639.38492431,8559426.071582044,6548668.279797366,978.3524762089736,27943344.94179691,14158.536210997858,24783.25
38.122825622558594,-121.28018188476562,1750,99.44944944944945,88.07247106190236,3250677.4899292,5689905.616723632,10956027.796362303,6988107.217449955,1227.4,37147347.16231688,10127.51926238952,25708.75
43.16150665283203,-70.87638854980469,727,93.812375249501,51.56028368794326,278101.4621765136,2268423.1417236333,3680302.007379152,1892004.642596436,988.55,16900496.72029418,7317.75118009976,14665.5
33.589744567871094,-111.8828125,1289,100.0,95.69413511507052,915105.9599060062,6778137.383148196,10469802.188555898,6907686.9263488855,1375.3,35937413.17201544,15475.8351374178,22445.0
41.467262268066406,-90.51461029052734,766,97.05357142857144,70.46918123275069,2408950.422058105,2525330.802264404,3904625.4968994153,4360489.020245358,1014.9,31697478.3509338,16060.7076913591,26353.75
30.03937721252441,-94.29521942138673,590,13.324066719618743,87.9284649776453,1150576.1857971183,1305409.3983947756,2727857.4227233888,2623077.4313171366,1070.15,18155567.29957276,11093.05557495626,13963.5
