region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Rogersville,Missouri,37.2022532,37.0534992,-93.0097726,-93.2274719,37.11977309996,-93.139669679280047,1074.3999999999999,712,36.56,77.899343544857771,4065,13294,11478,12459,8218,48,49514,12,12378.5,1130000.4666625974,4559674.607794188,3498712.23859863,3807422.0633972175,2630705.2394897458,15541.027294921874,15626514.615942378,"[[0,132],[5,162],[10,134],[15,95],[20,79],[25,36],[30,22],[35,17],[40,7],[45,5],[50,2],[55,2],[60,3],[65,1],[75,1],[80,1],[95,1],[100,1],[105,2],[110,2],[130,1],[135,1],[145,1],[200,1],[265,1],[285,1],[395,1]]",13185.624474347469,3
Rohnert Park,California,38.3722511,38.3189077,-122.6675225,-122.7295301,38.346317381079551,-122.69342498610926,1195.95,9980,99.830140605831843,94.337839115228277,52932,168252,123392,158957,290953,49,794486,12.25,198621.5,16154322.967291256,63070878.916082665,40368035.0702211,55206968.182122841,103471987.17450576,17022.1166015625,278272192.31022245,"[[0,1032],[5,2577],[10,2863],[15,1791],[20,778],[25,259],[30,78],[35,55],[40,62],[45,48],[50,46],[55,27],[60,29],[65,25],[70,13],[75,14],[80,15],[85,15],[90,10],[95,9],[100,13],[105,10],[110,15],[115,12],[120,11],[125,4],[130,6],[135,11],[140,2],[145,4],[150,14],[155,5],[160,5],[165,1],[170,2],[175,3],[180,6],[185,7],[190,3],[195,3],[200,4],[205,5],[210,5],[225,2],[230,4],[235,2],[240,2],[245,1],[250,4],[255,2],[270,2],[275,2],[280,3],[290,2],[295,3],[310,2],[320,3],[330,1],[335,2],[345,2],[350,1],[360,2],[370,1],[380,1],[400,1],[420,1],[440,1],[450,1],[455,2],[490,1],[500,1],[515,1],[520,1],[530,1],[535,2],[550,1],[555,1],[580,1],[630,2],[675,1],[685,1],[695,2],[730,1],[830,1],[840,1],[855,1],[880,1],[920,1],[925,1],[940,1],[995,9]]",75865.6324903862,286
Roland,Arkansas,34.9466022,34.8188463,-92.4644417,-92.5822404,34.880719654520377,-92.502719983229781,1064.2,255,22.981366459627328,76.576576576576571,1849,4616,2169,2740,1598,39,12972,9.75,3243,508552.0716918945,1481669.2535888664,644788.95378417941,810418.35505371087,489427.76148681634,11801.222674560546,3934856.3956054682,"[[0,56],[5,73],[10,60],[15,24],[20,15],[25,9],[30,2],[35,6],[40,4],[45,1],[50,2],[60,1],[65,1],[75,1]]",2404.1981148642294,0
Roland,Oklahoma,35.4484045,35.389986,-94.43598,-94.5418343,35.410735695742112,-94.507595101459927,1082.6505434782605,43,6.447688564476886,81.132075471698116,151,419,531,577,4541,80,6219,20,1554.75,41991.078686523433,144808.20188598632,158348.13670654295,184271.08330078123,1477668.1475341795,27843.4134765625,2007086.6481140137,"[[0,6],[5,6],[10,2],[15,7],[20,3],[25,4],[30,1],[40,4],[45,1],[50,1],[60,1],[85,2],[95,1],[105,3],[200,1]]",1357.7427054169873,0
Rolling Fields,Kentucky,38.2723135,38.2647709,-85.6646986,-85.6766552,38.268621973062722,-85.671262646494625,1008.1,195,99.6309963099631,72.222222222222229,269,2234,1090,2252,1575,26,7420,6.5,1855,71342.614416503886,655529.48800048814,292175.47683715809,629023.74884643569,458464.52843017585,7415.1484863281248,2106535.8565307618,"[[0,69],[5,70],[10,37],[15,13],[20,4],[25,1],[335,1]]",1608.5869043761165,0
Rolling Hills,California,33.7818622,33.7432962,-118.3305335,-118.365233,33.761961302127645,-118.34653248457461,1285.2321115836851,972,99.468085106382972,86.631016042780743,12713,29311,23151,25001,7673,78,97849,19.5,24462.25,4179569.7583801304,11284858.512371836,8202386.4100341853,8978837.0872924812,2795840.5835510269,28258.90078125,35441492.351629622,"[[0,93],[5,148],[10,122],[15,134],[20,96],[25,93],[30,52],[35,46],[40,51],[45,38],[50,21],[55,22],[60,13],[65,11],[70,6],[75,3],[80,3],[85,6],[90,2],[95,1],[100,3],[115,2],[130,1],[145,1],[170,1],[180,2],[230,1]]",9662.4503200883064,41
Rolling Hills,Kentucky,38.2861724,38.277842,-85.5740428,-85.5830169,38.282058983284458,-85.578425170674521,1008.1,260,99.706744868035187,76.470588235294116,1510,3572,1639,1679,6627,30,15027,7.5,3756.75,391171.34026489255,1076560.2148193363,452795.32974853524,480503.039251709,2003085.3885986323,8846.7828796386711,4404115.3126831055,"[[0,53],[5,126],[10,45],[15,20],[20,6],[25,2],[30,1],[40,3],[100,1],[290,1],[375,1],[690,1]]",3363.0579775706328,0
Rolling Hills Estates,California,33.7956057,33.7574081,-118.3158983,-118.3930102,33.7767582027112,-118.35826713039384,1285.2291102200052,3158,99.115296803652967,90.930031672905272,20992,48931,34370,37966,70808,49,213067,12.25,53266.75,6962230.6529235775,19041438.213073734,12250543.579919443,13719651.413769539,26388333.998095676,18004.446826171876,78362197.857781842,"[[0,463],[5,781],[10,663],[15,531],[20,304],[25,161],[30,77],[35,54],[40,27],[45,19],[50,8],[55,7],[60,8],[65,9],[70,1],[75,5],[80,5],[85,2],[90,3],[95,3],[100,2],[105,1],[110,1],[115,1],[120,1],[140,3],[145,2],[155,1],[185,1],[190,1],[215,1],[250,1],[300,1],[305,1],[315,2],[345,1],[385,1],[390,1],[400,1],[590,1],[660,1],[995,1]]",21363.966174492467,104
Rollingwood,California,37.9680852,37.963427,-122.3231301,-122.3368576,37.96551305508099,-122.33087941178202,1237.6,548,99.410898379970547,81.18518518518519,1227,3770,2474,3435,1184,18,12090,4.5,3022.5,397700.14429931645,1454240.1657226565,841746.2573059086,1221312.2686645505,422762.20140991232,6619.6812988281245,4337761.0374023486,"[[0,295],[5,211],[10,34],[15,6],[20,1],[70,1]]",1182.6082295992142,2
Rollingwood,Texas,30.2826232,30.2677153,-97.7778579,-97.7983477,30.274503161025642,-97.786685125812156,1116.8999999999999,517,99.82905982905983,88.527397260273972,5585,12848,5818,5458,11165,44,40874,11,10218.5,1653662.1149047853,4176999.7289062506,1826149.746777344,1752765.6634338375,3800565.4288269035,14152.891796875,13210142.682849132,"[[0,80],[5,149],[10,118],[15,79],[20,40],[25,16],[30,8],[35,2],[40,1],[45,1],[50,3],[55,5],[60,1],[70,2],[75,1],[95,1],[135,1],[165,1],[225,1],[245,2],[265,1],[285,1],[450,1],[475,1],[995,1]]",6423.913368969439,10
Rollinsford,New Hampshire,43.2398805,43.2052416,-70.8123437,-70.8857819,43.228227974097322,-70.833296130298322,988.55,298,91.3657770800628,51.202749140893474,266,3784,2719,2436,8880,20,18085,5,4521.25,68097.199865722665,1148604.1642150881,745628.0101501462,656012.31860961893,2596217.5078918454,5812.5950927734375,5214559.20073242,"[[0,139],[5,104],[10,18],[15,13],[20,3],[25,5],[35,1],[40,3],[70,1],[95,2],[105,1],[120,1],[135,1],[145,2],[175,2],[640,2]]",2257.8535635013891,0
Roman Forest,Texas,30.1894132,30.1320622,-95.134269,-95.1769554,30.178520208774586,-95.163613439788108,1063.3079775280903,459,99.546142208774583,69.756838905775069,833,7330,2622,3063,2095,27,15943,6.75,3985.75,231764.6846130371,2260818.0424133297,772136.6629821778,886285.24035644531,649227.54774169938,8143.55615234375,4800232.1781066908,"[[0,154],[5,184],[10,80],[15,22],[20,7],[25,3],[30,2],[35,2],[55,2],[65,1],[95,1],[125,1]]",2932.9429064815722,0
Rome,Georgia,34.380443,34.169222,-85.0656577,-85.3251316,34.260363380997177,-85.188544806232215,1065.8999999999999,4569,77.858356940509921,66.496870906709361,30620,78411,60484,64455,480776,35,714746,8.75,178686.5,8586952.94576417,25977069.707257062,18286548.338855006,19823047.751379374,156100599.13997838,10803.666015625,228774217.88323385,"[[0,1168],[5,1273],[10,526],[15,330],[20,181],[25,107],[30,94],[35,77],[40,83],[45,66],[50,61],[55,52],[60,42],[65,33],[70,28],[75,25],[80,18],[85,20],[90,24],[95,17],[100,18],[105,16],[110,13],[115,12],[120,14],[125,7],[130,6],[135,16],[140,8],[145,2],[150,6],[155,4],[160,11],[165,3],[170,4],[175,5],[180,4],[185,4],[190,3],[195,7],[200,3],[205,2],[210,2],[215,6],[220,5],[225,7],[230,4],[235,6],[240,5],[245,2],[250,2],[255,3],[260,2],[265,4],[270,3],[275,2],[280,3],[285,1],[290,2],[295,1],[300,1],[305,1],[310,7],[320,2],[335,1],[340,5],[345,1],[355,1],[360,2],[365,3],[375,2],[385,3],[390,2],[395,2],[405,3],[410,1],[420,2],[430,2],[445,1],[450,1],[455,2],[460,1],[465,3],[470,2],[475,1],[480,1],[495,3],[505,1],[510,2],[520,1],[550,1],[595,1],[600,1],[620,2],[635,1],[640,1],[675,1],[685,1],[695,2],[700,1],[720,1],[745,1],[775,1],[810,1],[835,2],[870,1],[930,1],[990,2],[995,24],[1000,10]]",136025.96514525844,2
Rome,Illinois,40.8818916,40.8589687,-89.5023981,-89.5245666,40.871403870038172,-89.514054848854968,1015.6198198198194,47,12.213740458015268,73.4375,67,594,446,331,183,29,1621,7.25,405.25,17356.481201171875,177430.27634887691,126288.55482788086,91203.780822753892,53365.4603515625,8240.50595703125,465644.55355224595,"[[0,17],[5,16],[10,8],[15,3],[20,1],[25,1],[30,1]]",392.91002328831354,0
Romeoville,Illinois,41.6802373,41.594157,-88.0355253,-88.1626423,41.63121580745873,-88.113208100170851,977.5,9690,99.39269523565136,83.390705679862307,16096,113971,72221,106050,500707,26,809045,6.5,202261.25,3993966.6943664625,35364451.07179559,19902226.902404703,28946112.423321459,146779641.94277951,7616.419189453125,234986399.03466851,"[[0,2965],[5,4257],[10,1381],[15,363],[20,179],[25,69],[30,29],[35,24],[40,20],[45,23],[50,15],[55,14],[60,22],[65,14],[70,13],[75,19],[80,7],[85,16],[90,13],[95,9],[100,8],[105,6],[110,6],[115,2],[120,4],[125,4],[130,7],[135,3],[140,2],[145,3],[150,4],[155,2],[160,4],[165,2],[170,1],[180,1],[185,1],[190,3],[195,4],[200,7],[210,2],[220,2],[225,1],[230,2],[235,3],[240,3],[245,1],[250,2],[255,3],[260,2],[265,1],[270,1],[280,2],[285,1],[290,1],[300,1],[305,2],[310,2],[315,1],[325,1],[330,1],[335,1],[340,1],[350,6],[355,2],[360,2],[385,2],[395,1],[400,1],[410,2],[420,1],[430,1],[435,1],[440,1],[450,1],[455,1],[465,1],[470,1],[480,1],[485,1],[495,1],[500,1],[510,1],[515,1],[520,1],[525,1],[535,1],[540,1],[555,1],[560,1],[570,2],[585,2],[590,1],[595,1],[610,1],[615,1],[620,1],[660,1],[665,1],[690,1],[695,1],[705,1],[710,1],[730,1],[745,1],[750,1],[760,1],[770,1],[795,1],[800,1],[880,1],[900,1],[920,1],[925,2],[975,1],[980,1],[985,1],[990,2],[995,46],[1000,13]]",194534.42089129731,1
Romulus,Michigan,42.2679727,42.1798563,-83.3064668,-83.4253732,42.2237650599676,-83.3658649468206,956.25,5912,80.903803985127283,69.667687956634452,20836,59777,51285,61044,662265,27,855207,6.75,213801.75,5146319.3779846178,17857989.908172607,13834935.265753187,16479554.953051735,192165214.30720189,7336.8476318359371,245484013.81216425,"[[0,1961],[5,2038],[10,699],[15,275],[20,125],[25,91],[30,62],[35,39],[40,34],[45,31],[50,21],[55,17],[60,24],[65,21],[70,24],[75,16],[80,14],[85,13],[90,12],[95,9],[100,16],[105,3],[110,12],[115,13],[120,7],[125,9],[130,7],[135,11],[140,9],[145,7],[150,7],[155,6],[160,3],[165,4],[170,7],[175,3],[180,4],[185,2],[190,5],[195,5],[200,6],[205,1],[210,5],[215,2],[220,3],[225,3],[230,4],[235,2],[240,3],[245,4],[250,1],[255,1],[260,1],[265,2],[270,1],[275,2],[280,3],[285,2],[290,3],[295,2],[300,4],[305,3],[310,4],[315,3],[320,4],[325,2],[330,2],[340,1],[345,1],[350,2],[355,3],[360,2],[365,2],[370,4],[375,1],[380,8],[385,3],[390,2],[395,3],[400,4],[405,3],[415,2],[425,1],[430,2],[440,2],[445,1],[450,1],[455,4],[460,1],[465,1],[470,1],[475,2],[485,3],[490,2],[495,1],[500,1],[510,1],[515,1],[530,1],[535,1],[540,1],[545,1],[555,1],[560,1],[565,1],[580,1],[590,1],[595,1],[600,1],[605,3],[610,1],[615,1],[640,1],[645,1],[650,1],[655,4],[660,1],[665,3],[670,1],[690,1],[695,2],[700,1],[710,1],[715,2],[720,1],[725,1],[730,3],[735,2],[745,1],[765,1],[775,2],[785,1],[825,1],[845,1],[860,1],[870,1],[875,2],[890,1],[920,1],[925,1],[945,1],[950,1],[960,2],[965,1],[985,1],[990,3],[995,29],[1000,13]]",193350.87424278012,0
